"Lower","Upper","Triadic HE","ct","pmax","triad"
60,1090,2.48997926723695,15,0.179132883297307,"16/17/31"
140,50,2.44325724333303,12,0.176549714129802,"10/11/11"
150,1090,2.43920483035704,13,0.152769360078035,"13/14/26"
150,1160,2.4030434724467,12,0.172122671572895,"11/12/23"
50,130,2.40029023215908,12,0.165197308666328,"11/11/12"
50,50,2.39143303070873,11,0.150149066019222,"21/21/22"
1090,770,2.31601160606728,12,0.20564283010955,"8/15/23"
50,220,2.31011750538077,11,0.196608520946922,"7/7/8"
120,1170,2.29752948954063,11,0.154160346871957,"16/17/34"
50,440,2.29664043004723,11,0.190125722445636,"18/19/24"
1050,110,2.28858710746587,11,0.205011155493575,"7/13/14"
100,40,2.28549311461551,12,0.18283535874914,"14/15/15"
40,90,2.27667987124013,12,0.180936728768381,"15/15/16"
1080,710,2.2579139722127,12,0.246866863797011,"7/13/20"
120,1110,2.25660780316443,11,0.180554358965006,"16/17/32"
1160,150,2.25609740345117,11,0.225796390705303,"6/12/13"
1050,40,2.24516622720059,11,0.256565168160189,"7/13/13"
50,730,2.23513120791987,11,0.186239903892414,"11/11/17"
230,50,2.23501224360561,11,0.209788274178442,"16/18/19"
1160,640,2.23090296369846,12,0.221964893441507,"7/14/20"
740,40,2.22634898691138,11,0.195889934540718,"9/14/14"
50,380,2.21921500672659,10,0.220601672621403,"4/4/5"
50,610,2.2174416937742,12,0.235753305668825,"9/9/13"
50,510,2.20149990244384,11,0.203009215054718,"18/19/25"
50,530,2.19985619126276,12,0.269594374962146,"8/8/11"
970,190,2.19789022976994,9,0.157449683521767,"12/21/23"
1090,150,2.19376129741697,10,0.21645030746627,"7/13/14"
50,310,2.17461720188879,10,0.185606969263107,"5/5/6"
1120,40,2.17436110713044,9,0.181957938611191,"13/25/25"
1160,90,2.17415308510085,12,0.190576534910111,"12/24/25"
10,1120,2.173416121912,11,0.180379412171032,"11/11/21"
130,1040,2.16796577513531,10,0.17677898994916,"11/12/22"
980,40,2.15739753603018,10,0.208050292835066,"9/16/16"
180,1150,2.15281615424653,12,0.253996668245752,"9/10/19"
1010,230,2.14932338534026,10,0.201936280386976,"11/20/23"
10,100,2.14272480599694,10,0.179507295571019,"16/16/17"
1150,790,2.13791812751414,10,0.257295903086329,"12/23/36"
50,770,2.13594417494917,10,0.195469898620418,"7/7/11"
50,890,2.12857918622931,9,0.218438840483313,"10/10/17"
50,1010,2.11796090206498,10,0.196502790541321,"6/6/11"
670,440,2.11657637399494,9,0.17802262383529,"11/16/21"
620,40,2.11058431544536,9,0.25974893960997,"9/13/13"
420,40,2.105723799102,11,0.317120873629948,"7/9/9"
1160,210,2.10227119616203,10,0.229870261946772,"4/8/9"
50,820,2.09883597739421,11,0.293127012421061,"8/8/13"
180,980,2.094955307447,10,0.263117646868171,"8/9/16"
1160,680,2.09461815984477,10,0.236919019116573,"12/23/34"
730,790,2.07957779564873,10,0.258425064217378,"8/12/19"
60,1040,2.07790405444941,10,0.345638224450151,"17/18/32"
50,970,2.077353507899,8,0.231135254830653,"9/9/16"
670,120,2.07691758241041,10,0.205910665417751,"10/15/16"
400,40,2.07023063311121,10,0.232778149469638,"11/14/14"
110,0,2.06925498375234,9,0.197234271888079,"15/16/16"
330,50,2.06659191334649,10,0.270489194569699,"16/19/20"
770,890,2.06502615486065,10,0.230859780589099,"13/20/34"
1160,1160,2.06386798843776,9,0.226553793558535,"7/14/27"
670,570,2.05651814289932,9,0.247364796546532,"14/21/29"
1160,460,2.05590531224158,9,0.219265131987795,"7/14/18"
820,340,2.0546364485459,9,0.245328996335928,"12/19/23"
670,810,2.05250690794168,9,0.223725253823676,"8/12/19"
50,640,2.05129858589948,9,0.278045126312954,"18/19/27"
510,40,2.0511065901401,9,0.228039299335015,"11/15/15"
1090,80,2.05100456864352,10,0.234734473550079,"9/17/18"
60,990,2.05069672057743,12,0.253550162324016,"16/17/30"
450,40,2.04740540964891,10,0.238732824017288,"18/23/24"
230,1060,2.04694665490358,9,0.294546547280895,"7/8/15"
740,560,2.04517338799111,10,0.239437357586081,"9/14/19"
1150,1120,2.04489264402096,10,0.278774549059837,"11/21/40"
120,160,2.04244210850834,10,0.212292370030707,"17/18/20"
640,940,2.04120237444365,9,0.20951226994186,"14/20/35"
130,970,2.04098047738695,9,0.227213589747824,"11/12/21"
1160,360,2.03945231073357,9,0.256208167703696,"7/14/17"
800,440,2.03898535812918,10,0.267518371120679,"13/21/27"
1160,1030,2.03502801319953,11,0.297637270505751,"5/10/18"
590,40,2.03399066177034,9,0.301224447604298,"7/10/10"
740,420,2.03358488255509,8,0.221643636195774,"13/20/25"
1160,1090,2.0311631245767,8,0.207209760143054,"7/14/26"
920,40,2.02957691439765,9,0.234739505510192,"7/12/12"
1070,870,2.02595231659167,11,0.226222975586209,"8/15/25"
880,360,2.02294383462175,9,0.25235315349817,"12/20/25"
860,790,2.01749563029929,10,0.226241877440076,"12/20/31"
780,1090,2.0164451954905,8,0.211948449539248,"11/17/32"
650,510,2.01331723133255,10,0.254973050467555,"15/22/29"
1090,30,2.01261845664871,9,0.247345494117792,"9/17/17"
120,990,2.01194793520939,9,0.232176319109472,"12/13/23"
620,110,2.01162405662037,9,0.236631845478488,"12/17/18"
670,1170,2.00975756202871,9,0.186635041997074,"13/19/37"
1160,590,2.00964722494876,10,0.227112804200347,"5/10/14"
1150,850,2.00608622662651,10,0.38506037617482,"11/21/35"
640,880,2.00400309336458,8,0.227419993886759,"9/13/22"
280,1100,2.00313360555225,9,0.227195369856561,"6/7/13"
280,1030,1.99716483291573,8,0.257660613947998,"6/7/13"
900,260,1.99558512830979,9,0.293721648487397,"12/20/23"
670,980,1.99365627804708,9,0.219071957407878,"13/19/34"
800,500,1.99339218278671,9,0.26935333071281,"10/16/21"
220,1010,1.9933274248756,9,0.308840806243764,"8/9/16"
1160,880,1.99193213942938,9,0.241137514119679,"7/14/23"
250,1110,1.98547140184665,9,0.230624540909427,"6/7/13"
1120,110,1.98419389015053,9,0.250901307676634,"9/17/18"
230,1170,1.98321150387366,9,0.193985331074134,"8/9/18"
1010,800,1.97701554429976,9,0.315306813242134,"5/9/14"
270,40,1.975816581224,7,0.22850339774516,"11/13/13"
770,40,1.97344057774032,8,0.264368508876411,"7/11/11"
260,1040,1.97236697064963,9,0.242872633515262,"13/15/27"
1160,940,1.97122352932377,10,0.35715954199419,"5/10/17"
130,640,1.96963990558583,9,0.234659371454531,"14/15/22"
780,820,1.96891316086926,12,0.362924444028182,"12/19/30"
1160,540,1.96814161186557,8,0.19393474817867,"7/14/19"
620,1170,1.96812210372068,8,0.223694579227667,"7/10/20"
540,980,1.96723463555336,9,0.262098155232343,"14/19/34"
540,920,1.96595505742453,8,0.277459486874524,"14/19/32"
170,110,1.96546969440262,9,0.213576198663291,"11/12/13"
760,830,1.96534125668467,8,0.263764806456744,"13/20/32"
950,290,1.96496695321414,8,0.317561155898066,"12/21/25"
270,970,1.96400289810738,8,0.244094295817524,"11/13/23"
610,490,1.96067682090204,9,0.277203798411333,"9/13/17"
200,130,1.96049196022902,9,0.200628678576388,"9/10/11"
670,870,1.96006241714746,8,0.229716268641388,"13/19/32"
580,900,1.95913300099553,8,0.257600920952225,"13/18/30"
1100,1180,1.95843132629398,8,0.261326814452151,"8/15/30"
810,40,1.95686731657262,9,0.206214574896839,"5/8/8"
360,1060,1.95670516753463,8,0.230003598859917,"13/16/30"
1080,1170,1.95603624365795,9,0.257963963740735,"9/17/33"
420,1030,1.95276504467795,8,0.235016882982765,"7/9/16"
730,950,1.95200933454176,8,0.256487016931332,"8/12/21"
140,950,1.95194734046896,9,0.236942689304814,"14/15/26"
590,960,1.95128411466823,9,0.333963476847978,"5/7/12"
360,1000,1.94874783528807,8,0.245852708406908,"9/11/20"
280,880,1.9484941089899,9,0.233827795327836,"12/14/23"
1000,740,1.94809394031331,9,0.252541136949599,"9/16/25"
1020,850,1.94629825785666,8,0.222443876734868,"10/18/29"
160,200,1.9445992055626,10,0.300095118212343,"9/10/11"
1110,820,1.9441913204644,9,0.241578982996025,"11/21/34"
1060,1170,1.94340819864811,8,0.320291786792317,"6/11/22"
610,550,1.93916788603415,10,0.292272908402385,"15/21/29"
1160,270,1.93872481079556,8,0.26056759031435,"3/6/7"
430,970,1.93792113942742,10,0.291144283574686,"7/9/16"
1030,790,1.93757251997588,9,0.198429652283155,"11/20/32"
210,1070,1.93676889291447,8,0.245924391517061,"8/9/17"
1170,60,1.93558406875619,9,0.268382094497695,"13/26/27"
810,810,1.93275356112198,9,0.26647211295067,"13/21/33"
120,600,1.9321483244999,8,0.240920226094078,"14/15/21"
450,1020,1.93181640233022,10,0.263703897118914,"14/18/33"
120,680,1.93128064615333,8,0.234260787163155,"14/15/22"
520,770,1.92779167277827,9,0.231417423550562,"12/16/25"
840,40,1.92634138757994,9,0.302215643939277,"15/24/25"
820,870,1.92299195191382,9,0.320317599002847,"13/21/35"
940,760,1.92048792015448,8,0.309577555062296,"11/19/29"
340,1070,1.91936232911319,8,0.307322132415875,"14/17/32"
340,1010,1.91700139682348,7,0.2303960087829,"9/11/20"
840,800,1.91629275509038,7,0.278606915670488,"13/21/33"
810,1170,1.91429861247731,8,0.245580427660396,"10/16/31"
560,910,1.9067283306332,10,0.367575302725298,"13/18/30"
1140,30,1.90360009338161,9,0.252155522052956,"13/25/25"
840,860,1.90099009792681,9,0.331530876963796,"13/21/35"
120,720,1.89765517432265,8,0.256649655761313,"13/14/21"
230,1120,1.89444568507584,8,0.242451385943855,"15/17/33"
500,430,1.89413333491888,9,0.279139433316226,"15/20/26"
330,840,1.89265865845512,8,0.284234351062983,"9/11/18"
930,830,1.89264773057917,8,0.234196536088583,"10/17/28"
730,360,1.89242114281934,9,0.293481934423587,"15/23/28"
200,40,1.8923922578946,10,0.302203426817786,"7/8/8"
670,640,1.89190392441098,7,0.230208671286206,"6/9/13"
450,960,1.89141066257951,8,0.255715669735281,"7/9/16"
570,1170,1.89007341101829,7,0.241665680857057,"8/11/22"
560,320,1.88879057965164,8,0.275958956980926,"15/21/25"
560,380,1.8857744418039,8,0.318656692116813,"15/21/26"
400,770,1.88575585319154,8,0.261954666757523,"16/20/31"
730,730,1.88527133143827,8,0.244196440439735,"10/15/23"
320,220,1.88505824767997,9,0.309600360219687,"14/17/19"
960,1170,1.88500713584583,7,0.206357301471021,"7/12/24"
680,550,1.88280234858794,7,0.219067580793443,"13/19/26"
810,1120,1.8826540952221,8,0.221488629652183,"5/8/15"
730,1100,1.88255441458874,8,0.236602512122384,"11/17/32"
220,140,1.88140100517197,8,0.277263706939214,"13/15/16"
730,1140,1.87840499699233,9,0.239010407124434,"12/18/35"
160,570,1.87673551179463,8,0.277075665718979,"12/13/18"
550,680,1.87459599913365,7,0.270409812909793,"11/15/22"
260,280,1.87210157809999,8,0.285997573877029,"14/16/19"
810,930,1.87163998023952,8,0.243964844255505,"7/11/19"
470,260,1.87020808219695,7,0.289202438648023,"13/17/20"
610,950,1.86925755070465,7,0.27892626026057,"7/10/17"
570,660,1.86889359479064,9,0.30280950511952,"8/11/16"
560,600,1.86626502743581,8,0.250616404343701,"5/7/10"
920,950,1.86598916408597,8,0.27354049307581,"7/12/21"
230,940,1.86425973784301,7,0.225429919632724,"7/8/14"
350,1170,1.86204005819435,7,0.274981899577199,"13/16/31"
1090,430,1.8617507373756,7,0.278647453906366,"8/15/19"
1100,640,1.857503734636,7,0.273374039993706,"8/15/22"
370,870,1.85513147629476,9,0.364012738732979,"12/15/25"
500,340,1.85501669738077,8,0.261868725071942,"14/19/23"
120,920,1.85492037007167,8,0.243484657902337,"12/13/22"
20,750,1.85491646733669,8,0.284506859486149,"9/9/14"
0,760,1.85475439022735,8,0.284511006930075,"9/9/14"
530,640,1.85165166767297,8,0.320621177009204,"8/11/16"
430,800,1.85155323493667,7,0.273914663512777,"11/14/22"
0,460,1.85151105988285,7,0.279389494636124,"10/10/13"
780,570,1.85148601429219,7,0.245416226407934,"5/8/11"
670,1120,1.85116459313606,7,0.240381202439615,"6/9/17"
920,770,1.85086782279826,8,0.349158663733262,"13/22/34"
10,910,1.85078638201138,7,0.251821109702841,"10/10/17"
540,1170,1.84715888034182,7,0.286440311052155,"13/18/35"
940,570,1.84646366188221,7,0.229734014412054,"10/17/24"
530,450,1.84590172652475,8,0.252169940538663,"8/11/14"
380,270,1.84569018798419,8,0.229553480546375,"13/16/19"
20,630,1.84406968808386,8,0.308764443102119,"9/9/13"
10,410,1.84398624416221,7,0.264975466859511,"11/11/14"
0,640,1.8438961213141,8,0.30876940422527,"9/9/13"
820,650,1.84378247908306,7,0.25728595177979,"8/13/19"
0,550,1.84327343779445,8,0.344811721333459,"8/8/11"
470,950,1.84216942058079,7,0.275763912491399,"13/17/29"
520,1130,1.84096347924843,7,0.23664046854865,"12/16/31"
730,900,1.83850356220186,8,0.290626019098209,"2/3/5"
10,600,1.83743597442462,7,0.261513262262897,"7/7/10"
10,840,1.8357123682443,8,0.325124844236273,"8/8/13"
470,480,1.8356084076693,8,0.273117180479729,"16/21/28"
660,930,1.83479681119355,7,0.333803476285455,"13/19/33"
190,860,1.83435054690031,6,0.251510868801091,"10/11/18"
20,1030,1.83411988801787,7,0.310108029398209,"6/6/11"
0,1040,1.83405861021455,7,0.310109631069367,"6/6/11"
890,40,1.83403091826837,8,0.364993516365519,"15/25/26"
810,750,1.83344785975191,8,0.243689791103543,"7/11/17"
520,570,1.83312410006761,6,0.272795626917684,"15/20/28"
330,400,1.83157684156314,7,0.260611503769299,"10/12/15"
1090,470,1.83047717662844,8,0.287505740771529,"7/13/17"
10,990,1.83022485786446,6,0.277284050201762,"9/9/16"
470,1170,1.82931684186372,7,0.241962980198434,"10/13/26"
1200,780,1.8286262231416,8,0.280434779314076,"7/14/22"
750,480,1.82808841400523,8,0.283233541269151,"13/20/26"
300,630,1.82778895336515,8,0.224917381695232,"17/20/29"
670,750,1.82741257560317,8,0.340565189139614,"11/16/25"
770,390,1.82714973548817,7,0.342069997978075,"13/20/25"
1060,610,1.82600973169542,7,0.285329033286549,"12/22/31"
910,630,1.82519190558722,8,0.248230863198546,"13/22/32"
740,840,1.82430148375251,7,0.354144153288351,"13/20/32"
580,1110,1.82410039781997,8,0.268080673313996,"12/17/32"
850,680,1.82399308996123,7,0.238630363046357,"11/18/27"
310,920,1.82164926584717,6,0.221133511928276,"11/13/22"
110,250,1.81926281155314,7,0.240984902423829,"17/18/21"
150,930,1.81906753101387,7,0.299175053887103,"13/14/24"
850,530,1.8177388543853,8,0.384482370954245,"14/23/31"
910,1120,1.81742393963641,7,0.249660648596228,"10/17/32"
240,150,1.81623694328097,8,0.329435594803375,"12/14/15"
130,890,1.81464589411387,8,0.278285763525415,"14/15/25"
520,870,1.8142844256381,8,0.320167337949093,"9/12/20"
820,590,1.81386105209284,8,0.308988198189031,"8/13/18"
730,1010,1.8137516071957,7,0.264996393630076,"13/20/36"
120,560,1.81365603274351,8,0.279724950809789,"15/16/22"
1200,90,1.81124994724852,7,0.262053664512841,"9/18/19"
270,550,1.81049212252637,7,0.294852951563897,"12/14/19"
270,820,1.81044001961067,7,0.286963819562765,"11/13/21"
1050,780,1.80807309995944,8,0.309028701903778,"6/11/17"
950,980,1.80779662985991,8,0.267629816410286,"7/12/21"
280,1160,1.80750978080413,9,0.38532792716951,"11/13/25"
1100,230,1.8074318313675,8,0.262732444934934,"8/15/17"
680,380,1.80686751026951,7,0.24502588763697,"14/21/26"
470,770,1.80665384288574,7,0.300718930712,"15/20/31"
110,460,1.80641813541212,7,0.294491593500082,"15/16/21"
860,440,1.80616277102957,8,0.271423948123027,"8/13/17"
630,610,1.80603021255424,7,0.308262722898058,"13/19/27"
470,330,1.80560952387494,7,0.262732931540032,"10/13/16"
300,590,1.80544431343771,7,0.243971597509902,"16/19/27"
1010,600,1.80331483137417,7,0.251645307732155,"11/20/28"
770,1170,1.80181105641042,8,0.301039870459731,"12/19/37"
480,530,1.80158123849464,7,0.294241574426806,"15/20/27"
470,880,1.80059755054371,7,0.309538179631868,"13/17/28"
390,360,1.80027938937952,7,0.244447172748188,"17/21/26"
840,1030,1.80027302895241,7,0.274370835924206,"10/16/29"
730,120,1.79723913435961,8,0.316663039487839,"8/12/13"
730,310,1.79595178501989,8,0.313634931528695,"13/20/24"
1020,150,1.7937181246473,8,0.256749875584234,"6/11/12"
890,620,1.79308343247175,9,0.314873580713671,"12/20/29"
830,410,1.79268757063124,8,0.292014836126537,"13/21/27"
1090,260,1.79214722677764,8,0.337571833376879,"10/19/22"
630,190,1.79177310967336,7,0.2354546117926,"16/23/26"
590,1020,1.79005951285907,7,0.33166999480174,"10/14/25"
780,200,1.78945746059967,7,0.255663913269848,"12/19/21"
360,670,1.78938732201643,7,0.282223496942146,"12/15/22"
120,390,1.78834779733609,8,0.360618908185601,"15/16/20"
1100,1120,1.78832587694508,6,0.273919767770463,"10/19/36"
1030,730,1.78730099684772,7,0.26172761741869,"5/9/14"
880,550,1.78436984579431,6,0.274253118007418,"11/18/25"
1010,920,1.78436101091885,7,0.261909214618665,"9/16/27"
330,320,1.78408438460956,7,0.278533012157567,"9/11/13"
590,400,1.78372973800872,7,0.238573683182986,"14/20/25"
1070,300,1.7833717389658,7,0.282853122681147,"6/11/13"
440,540,1.7832366090494,9,0.350222210220231,"13/17/23"
860,1170,1.78157288344059,7,0.236130593026656,"12/20/39"
670,1030,1.78000573299172,7,0.309381539621554,"11/16/29"
440,590,1.77997603371342,7,0.288419198868102,"10/13/18"
440,310,1.77964775531463,6,0.280427798966939,"17/22/26"
440,450,1.77913823282119,7,0.267045364850087,"10/13/17"
910,500,1.77865019897911,7,0.312435717435692,"7/12/16"
770,250,1.77714021665372,7,0.344932981169732,"9/14/16"
360,250,1.77643333919929,7,0.362527344245033,"17/21/24"
270,500,1.77617092655008,8,0.297353593189928,"13/15/20"
620,780,1.7744757291085,6,0.310203148179807,"12/17/27"
1080,390,1.77353718923897,7,0.248584835363018,"9/17/21"
110,430,1.77077654420226,6,0.243164383671425,"16/17/22"
530,280,1.77055528798763,7,0.315745656344121,"8/11/13"
